id,sentiment
33977,1
22865,1
19460,0
9744,1
7132,1
1403,0
18098,0
9706,0
7129,1
41764,0
30934,1
61212,1
47323,0
16124,0
80212,1
34288,1
11414,0
8259,1
7165,0
28274,0
76554,1
55882,1
11159,1
64183,1
22186,1
31430,0
43133,0
27975,1
96106,0
59319,1
10861,0
21501,0
15854,1
44943,1
50075,1
46067,1
42015,0
834,0
85841,0
32697,1
91599,0
30461,0
4690,0
46380,1
16713,0
57236,0
65040,0
42516,1
99777,1
20078,1
83360,0
822,1
81588,0
70093,0
68374,1
37906,0
43681,1
271,1
43754,1
60242,0
74862,1
15358,0
9173,1
55482,1
92693,0
74859,1
54659,1
38630,1
78086,1
26528,1
61376,1
2213,1
38551,0
56279,0
58849,0
34056,1
96923,1
78613,1
75284,1
41483,0
34248,0
74869,1
99709,0
76343,1
67566,1
27108,0
87542,0
42154,1
65702,0
17466,0
50226,1
10769,0
55000,1
85539,0
36816,1
75794,1
54354,1
6984,1
23704,1
99471,1
68990,1
48564,1
76275,1
64798,1
60053,1
150,0
82214,1
80377,0
54690,1
44093,0
87532,1
36577,1
99157,0
60378,1
76897,0
2130,0
50874,1
49231,1
17330,1
31551,0
2788,0
40249,0
69087,0
67387,0
99060,1
34798,1
93524,1
98777,0
44140,0
77644,0
59656,0
51793,1
96794,1
68954,1
64843,0
17509,1
45961,0
19638,0
6402,0
40572,1
89494,1
57701,1
63498,1
72539,0
48286,1
2169,1
60164,1
36415,0
13734,1
80166,1
9463,0
93365,0
2105,1
12744,1
47767,1
71780,1
81179,1
50496,0
47444,0
82713,1
29272,0
64953,0
82449,1
867,0
67853,0
6324,0
65537,1
90501,0
12268,1
13376,0
98023,1
19125,0
54736,0
1575,0
1863,0
21267,1
20809,1
58697,1
11866,0
6421,1
63272,1
72199,0
48632,1
46422,1
65543,1
77703,1
14436,1
83063,1
74028,1
80475,1
57142,0
21454,1
60068,0
26229,0
60341,1
57915,1
53311,1
7541,1
30270,1
19404,1
857,0
95969,1
64408,1
14435,1
80168,0
35126,0
1323,1
92595,1
93621,0
34050,0
21449,0
49327,1
75137,1
97194,1
17939,1
12920,1
31365,1
18035,0
26883,1
57204,1
3167,1
86442,1
11458,0
12270,1
1222,0
38576,1
53301,0
8272,1
35193,1
2437,1
75965,0
46030,1
60842,0
63706,1
39243,1
26355,1
14332,1
576,1
29632,1
35468,0
16665,0
97411,1
33509,1
57397,1
72232,0
23663,0
56444,1
98129,1
90549,1
77084,0
3571,0
89528,0
84472,1
4080,1
72129,0
84261,1
69487,1
32685,1
52036,1
76210,0
76562,1
68230,1
75545,0
79648,1
76807,0
67746,0
23236,0
53535,0
57711,1
84618,0
17013,0
73099,0
95625,0
91791,0
25585,0
47724,1
9389,1
15056,1
59000,0
11268,1
44697,0
83544,1
61066,1
65617,0
32730,0
38738,1
53524,1
56693,0
48522,1
99356,0
73662,0
62492,1
53415,1
60288,0
39750,1
15610,0
34215,1
6429,0
41770,1
36085,1
47694,1
20359,1
66280,1
579,1
70852,0
19911,0
85674,0
3394,0
89913,1
25869,0
65758,1
38368,0
71950,1
6120,0
41277,0
39005,0
82807,1
58195,1
19661,0
82326,0
60153,1
37515,1
70318,1
44088,0
52797,1
55844,1
21595,0
29608,0
84582,0
21677,1
70371,1
57708,1
47747,1
46421,1
91541,1
78273,1
54003,1
83633,1
12491,1
91959,1
71065,1
1762,0
22340,0
5719,1
75584,0
12769,0
27965,1
46481,0
72374,1
67324,0
25169,1
50937,0
62381,0
44808,1
79154,1
44134,1
92686,1
85566,0
89051,1
3734,1
68258,1
56633,1
39057,1
46119,0
10651,1
99630,1
17075,1
29995,0
24380,1
84447,0
83617,1
86548,1
81796,0
89459,1
39765,1
49955,0
5100,0
69825,1
10862,1
63766,1
18398,0
63853,1
37034,1
227,1
92921,0
10855,1
45493,0
21425,1
99430,1
66604,1
20561,1
36662,0
83939,0
94348,1
47547,1
53871,1
92072,1
16820,0
75355,1
71575,1
68945,1
52379,1
10630,1
61006,1
17431,1
88,0
62046,1
52414,1
5333,1
6934,1
80787,1
35839,1
68013,1
2087,0
72483,0
38656,0
53642,0
71878,0
86535,0
92366,1
77925,1
26319,1
18424,1
33057,1
64507,1
29123,1
72789,0
14694,1
33747,1
65280,1
53310,0
51720,1
75681,1
1957,1
67459,1
14789,1
83748,0
77732,1
34429,1
96701,0
5327,1
13700,0
43773,1
80404,1
57995,1
60831,1
22621,0
27668,1
99137,1
45565,0
42933,1
26905,0
38478,0
87639,0
72471,1
14197,0
20166,0
5988,1
18371,0
39647,0
91503,0
2938,1
5171,0
65623,0
52863,1
22379,1
68653,1
82698,1
32836,1
6846,1
41841,1
99690,0
58534,1
37132,1
27328,0
69023,0
52926,1
32519,1
53668,0
31372,1
28379,1
73755,0
1415,1
12908,1
80916,1
94073,0
32776,0
43351,0
86847,1
2260,1
9506,1
98046,0
18047,0
38205,0
62180,0
38624,0
28875,1
44615,1
42039,1
61198,1
11763,1
19063,1
41153,0
52741,1
12342,1
19053,1
85871,1
54150,1
41999,1
9518,0
87252,1
66204,1
42564,0
60356,0
74934,1
884,1
82066,0
59146,0
39653,1
77422,1
86628,1
3201,1
17049,0
5536,0
95984,0
60909,1
95729,1
48627,1
4880,0
72640,1
22633,1
31437,1
13656,1
57350,1
33915,1
70182,1
77364,0
25737,1
4451,1
53683,1
4152,0
19382,0
37821,1
64312,1
35916,0
28773,1
66157,1
1350,1
52896,1
85737,0
22705,0
22610,1
19007,1
20916,1
55235,1
41207,1
70851,1
11732,0
39807,1
70957,1
5985,1
97792,1
91783,1
25794,0
91026,1
87446,0
56209,1
42045,0
91702,1
64236,0
71117,1
56119,1
20567,0
20035,1
46782,1
19667,1
60699,0
2175,0
63296,0
32554,0
69132,0
16234,0
50392,1
62843,1
65163,1
38187,1
85775,1
79367,1
33956,1
28828,0
1550,0
38993,1
95379,1
47149,0
37066,0
90608,0
94266,1
23692,1
34452,1
44664,1
56769,0
55991,1
5641,0
34929,0
72006,0
39711,1
2545,0
36476,0
43591,1
22822,1
30695,1
87392,1
84794,1
22362,0
79765,1
36612,0
38542,0
16369,1
42921,1
27298,1
69378,1
80182,1
32878,1
33576,1
51472,1
85185,1
73876,1
92121,1
42318,0
21775,0
91854,1
54515,0
586,0
21373,1
18249,0
44853,1
46530,1
84830,1
98523,1
28479,1
78147,0
92982,1
39473,1
21121,1
20382,0
36983,1
66339,0
23158,0
691,1
99464,0
65036,0
61186,1
37626,1
52980,1
11509,0
95426,0
99880,0
31396,1
32447,1
31209,1
17596,1
71271,0
93779,0
47224,1
26057,1
59239,0
28563,0
20424,0
279,0
82427,1
63709,1
4423,1
64762,1
81900,1
20049,1
99898,1
71990,1
95585,0
38315,1
18659,1
63744,0
92521,1
19092,1
9701,1
16356,0
56050,1
1571,0
76193,1
49250,0
39078,0
11063,1
8299,1
57224,0
69574,1
78700,1
71768,1
14016,0
12729,0
54200,0
56487,0
81205,1
57486,0
12123,0
1046,1
39112,1
29730,0
34149,1
15054,1
41370,1
21063,1
3657,0
95966,1
13111,1
95097,1
70111,1
77080,1
33224,1
65676,1
32281,0
75055,1
80466,0
85413,1
88343,1
80772,0
79804,0
28873,1
97612,1
25051,1
99013,0
66296,1
80106,0
78229,0
35688,0
85740,1
31448,1
69067,1
81296,0
78491,1
2484,1
24813,1
12184,0
25408,1
41246,0
656,1
87545,0
92602,1
98793,0
94906,1
2688,1
11384,1
78210,0
57498,1
78761,0
87397,1
66233,0
42284,0
38969,1
55952,0
15306,1
12781,0
14017,0
43034,1
13926,1
49734,1
74332,0
66578,1
9848,1
11619,1
19728,1
76974,0
13535,1
84229,1
39347,0
69844,0
20317,1
42426,1
33466,1
3000,1
62618,1
16373,1
61364,0
48164,0
88075,1
67915,1
8312,1
22453,1
9520,0
99443,1
55541,0
11429,0
48024,1
47882,1
59938,1
74369,0
54446,0
68748,1
94954,1
70536,1
27531,1
20286,1
12370,1
78204,1
50692,0
1231,1
47081,1
70061,0
58246,1
56229,0
24540,1
85921,1
24441,0
19430,1
69166,1
929,0
71127,1
10373,1
90023,1
24397,1
69377,1
74315,1
43524,0
42622,1
574,1
33160,0
32516,1
53030,1
38236,0
2496,0
56291,1
85958,1
63043,1
17427,0
30722,0
2874,1
21102,1
65829,0
89989,0
29976,0
47238,1
15542,1
49330,0
42278,1
9987,1
36883,0
89352,0
93289,1
70687,0
2183,1
63410,0
28284,1
42088,1
54074,0
19723,0
80245,1
96840,1
68864,1
52171,1
98933,1
58397,1
92736,0
78126,1
79825,1
42116,1
1058,1
80415,0
52321,1
26102,1
4369,1
91418,1
1729,0
72572,0
62807,1
50837,1
23821,1
46689,1
81683,1
65495,1
54753,0
88980,0
97111,0
22669,1
29897,1
92617,1
93168,1
16795,0
45527,1
52854,1
84039,1
95948,1
99227,1
52337,1
74570,1
26535,1
54204,1
58601,1
37664,1
88543,1
84957,0
76122,1
115,1
19223,1
68429,0
22780,1
95451,0
77174,1
89374,1
51115,0
97611,1
50564,0
65021,0
63647,1
1748,1
10961,1
69889,1
52567,1
55658,1
35189,1
73695,0
45163,1
68601,1
64633,0
72058,1
74158,0
17498,1
23088,0
93852,0
47109,1
97902,0
2743,1
57927,1
1551,1
36639,0
50000,1
85584,1
63548,1
33579,0
9743,1
32553,1
61127,1
42893,1
50844,0
48155,1
13671,1
88644,1
35454,0
53279,1
64278,1
